,region,response,coverage,education,effective_to_date,month,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
5081,west region,no,extended,bachelor,1/11/11,jan,employed,f,suburban,divorced,personal auto,personal l3,offer4,web,four-door car,medsize
5082,west region,no,extended,college,1/8/11,jan,medical leave,f,urban,married,personal auto,personal l3,offer3,branch,four-door car,medsize
5083,north west,no,basic,college,1/19/11,jan,disabled,m,suburban,divorced,corporate auto,corporate l3,offer4,web,four-door car,medsize
5084,north west,no,basic,doctor,2/27/11,feb,employed,f,rural,married,personal auto,personal l3,offer2,branch,four-door car,large
5085,west region,no,basic,bachelor,2/7/11,feb,employed,f,urban,divorced,personal auto,personal l2,offer1,agent,two-door car,medsize
5086,north west,no,basic,doctor,1/10/11,jan,employed,m,rural,single,corporate auto,corporate l3,offer4,agent,four-door car,small
5087,west region,no,basic,high school or below,1/13/11,jan,unemployed,m,suburban,single,corporate auto,corporate l3,offer2,web,four-door car,small
5088,west region,no,basic,high school or below,1/11/11,jan,unemployed,m,suburban,divorced,corporate auto,corporate l3,offer1,agent,four-door car,medsize
5089,north west,no,basic,high school or below,1/24/11,jan,employed,f,rural,married,personal auto,personal l3,offer3,call center,four-door car,medsize
5090,north west,no,basic,bachelor,2/20/11,feb,employed,m,suburban,married,corporate auto,corporate l3,offer1,agent,four-door car,medsize
5091,east,no,basic,college,2/13/11,feb,unemployed,m,suburban,single,personal auto,personal l2,offer1,agent,four-door car,medsize
5092,north west,yes,basic,college,1/31/11,jan,unemployed,m,suburban,single,personal auto,personal l1,offer1,branch,four-door car,medsize
5093,central,no,basic,college,2/1/11,feb,employed,m,rural,married,corporate auto,corporate l3,offer4,agent,suv,medsize
5094,central,no,extended,high school or below,2/4/11,feb,employed,m,rural,married,personal auto,personal l3,offer3,web,four-door car,medsize
5095,north west,no,basic,college,2/27/11,feb,employed,m,suburban,married,corporate auto,corporate l3,offer3,web,four-door car,medsize
5096,central,no,extended,master,1/12/11,jan,employed,f,suburban,married,corporate auto,corporate l3,offer2,call center,four-door car,medsize
5097,north west,no,basic,college,2/23/11,feb,employed,f,suburban,married,personal auto,personal l3,offer3,branch,two-door car,small
5098,central,no,basic,master,2/15/11,feb,employed,m,suburban,divorced,personal auto,personal l2,offer1,agent,two-door car,small
5099,north west,no,extended,master,1/20/11,jan,employed,f,suburban,single,corporate auto,corporate l3,offer2,agent,sports car,medsize
5100,central,no,basic,high school or below,1/23/11,jan,medical leave,f,suburban,married,personal auto,personal l1,offer1,branch,suv,medsize
5101,central,no,basic,college,2/21/11,feb,employed,f,rural,married,personal auto,personal l2,offer1,agent,four-door car,medsize
5102,north west,no,basic,bachelor,1/25/11,jan,unemployed,m,suburban,married,personal auto,personal l2,offer2,branch,four-door car,medsize
5103,west region,no,extended,bachelor,1/3/11,jan,employed,m,urban,married,personal auto,personal l2,offer2,branch,four-door car,large
5104,central,no,premium,high school or below,1/17/11,jan,employed,m,suburban,married,personal auto,personal l3,offer2,agent,sports car,medsize
5105,north west,yes,basic,bachelor,2/10/11,feb,employed,m,suburban,single,special auto,special l3,offer1,call center,suv,medsize
5106,east,no,basic,bachelor,1/1/11,jan,unemployed,f,suburban,single,personal auto,personal l2,offer1,agent,two-door car,medsize
5107,east,no,basic,bachelor,1/27/11,jan,medical leave,f,urban,single,corporate auto,corporate l1,offer1,agent,two-door car,large
5108,east,no,basic,college,1/5/11,jan,employed,m,suburban,divorced,personal auto,personal l3,offer3,branch,suv,small
5109,central,no,extended,high school or below,1/2/11,jan,disabled,m,suburban,divorced,corporate auto,corporate l3,offer1,branch,four-door car,small
5110,west region,no,extended,bachelor,2/26/11,feb,unemployed,f,suburban,single,personal auto,personal l3,offer2,call center,four-door car,small
5111,west region,no,extended,high school or below,1/11/11,jan,employed,m,suburban,single,personal auto,personal l3,offer2,agent,two-door car,small
5112,west region,no,extended,college,1/2/11,jan,employed,f,rural,married,personal auto,personal l1,offer1,agent,four-door car,medsize
5113,west region,no,basic,bachelor,2/28/11,feb,employed,f,urban,married,personal auto,personal l3,offer3,branch,two-door car,small
5114,west region,no,basic,bachelor,2/10/11,feb,disabled,f,suburban,divorced,personal auto,personal l1,offer3,web,sports car,medsize
5115,north west,no,extended,bachelor,1/5/11,jan,employed,m,rural,married,personal auto,personal l3,offer3,agent,suv,medsize
5116,central,yes,basic,college,2/14/11,feb,employed,m,suburban,married,special auto,special l1,offer2,agent,four-door car,large
5117,north west,no,basic,bachelor,1/22/11,jan,unemployed,f,suburban,single,personal auto,personal l1,offer2,web,four-door car,medsize
5118,central,no,extended,college,2/4/11,feb,employed,m,rural,married,special auto,special l3,offer1,agent,suv,small
5119,north west,no,basic,college,2/14/11,feb,employed,m,urban,married,personal auto,personal l3,offer1,agent,four-door car,large
5120,north west,no,extended,college,2/18/11,feb,unemployed,f,suburban,single,special auto,special l2,offer3,branch,two-door car,small
5121,west region,no,extended,high school or below,2/19/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer4,branch,four-door car,small
5122,north west,no,premium,bachelor,1/13/11,jan,medical leave,f,suburban,married,personal auto,personal l1,offer1,call center,four-door car,small
5123,west region,yes,extended,doctor,1/18/11,jan,employed,m,suburban,divorced,corporate auto,corporate l2,offer2,agent,sports car,medsize
5124,east,no,extended,bachelor,2/6/11,feb,employed,f,suburban,married,personal auto,personal l2,offer2,agent,suv,medsize
5125,north west,no,basic,master,1/12/11,jan,disabled,f,rural,married,personal auto,personal l3,offer1,agent,two-door car,medsize
5126,north west,no,basic,high school or below,2/16/11,feb,unemployed,f,suburban,divorced,personal auto,personal l3,offer2,agent,suv,medsize
5127,north west,no,extended,high school or below,1/5/11,jan,employed,m,suburban,single,personal auto,personal l3,offer3,branch,two-door car,medsize
5128,west region,yes,basic,college,2/5/11,feb,medical leave,m,suburban,married,personal auto,personal l2,offer1,branch,four-door car,medsize
5129,central,no,extended,bachelor,1/1/11,jan,unemployed,f,suburban,single,personal auto,personal l2,offer1,web,suv,medsize
5130,central,no,basic,college,2/15/11,feb,employed,m,suburban,married,personal auto,personal l1,offer3,branch,two-door car,large
5131,west region,no,extended,college,2/7/11,feb,employed,m,rural,married,corporate auto,corporate l1,offer2,web,four-door car,medsize
5132,west region,no,extended,master,1/9/11,jan,employed,m,rural,divorced,personal auto,personal l1,offer2,call center,two-door car,large
5133,north west,no,extended,high school or below,1/1/11,jan,employed,m,rural,married,personal auto,personal l1,offer3,web,two-door car,medsize
5134,north west,no,basic,college,1/1/11,jan,employed,f,rural,married,personal auto,personal l3,offer1,agent,two-door car,small
5135,west region,no,extended,bachelor,2/10/11,feb,employed,f,urban,married,personal auto,personal l2,offer2,call center,four-door car,medsize
5136,west region,no,basic,college,1/2/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer1,agent,four-door car,medsize
5137,north west,no,extended,high school or below,1/19/11,jan,employed,f,rural,married,corporate auto,corporate l3,offer4,call center,suv,large
5138,north west,no,premium,high school or below,1/19/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer1,branch,four-door car,medsize
5139,west region,yes,basic,high school or below,2/17/11,feb,employed,m,rural,married,personal auto,personal l3,offer2,agent,sports car,medsize
5140,east,no,basic,bachelor,1/28/11,jan,employed,f,suburban,single,personal auto,personal l3,offer1,call center,luxury suv,medsize
5141,north west,no,basic,college,2/9/11,feb,employed,f,urban,married,personal auto,personal l3,offer4,agent,two-door car,medsize
5142,west region,yes,basic,high school or below,1/10/11,jan,employed,m,suburban,married,special auto,special l3,offer2,agent,four-door car,medsize
5143,west region,no,basic,bachelor,2/1/11,feb,employed,m,urban,married,personal auto,personal l2,offer2,agent,two-door car,large
5144,west region,no,extended,high school or below,2/3/11,feb,employed,m,suburban,married,personal auto,personal l3,offer4,web,luxury suv,large
5145,central,no,basic,college,1/24/11,jan,employed,m,urban,married,corporate auto,corporate l1,offer4,branch,suv,medsize
5146,west region,no,extended,college,1/29/11,jan,unemployed,f,suburban,single,personal auto,personal l1,offer1,branch,four-door car,medsize
5147,north west,no,extended,high school or below,1/21/11,jan,unemployed,m,suburban,married,corporate auto,corporate l2,offer1,agent,four-door car,medsize
5148,north west,no,extended,college,2/26/11,feb,unemployed,f,suburban,single,personal auto,personal l1,offer2,agent,suv,medsize
5149,north west,no,premium,high school or below,2/13/11,feb,unemployed,m,suburban,single,personal auto,personal l2,offer2,branch,four-door car,medsize
5150,west region,no,basic,high school or below,1/14/11,jan,employed,m,suburban,divorced,personal auto,personal l1,offer4,web,four-door car,small
5151,north west,no,extended,college,1/4/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer1,call center,four-door car,medsize
5152,central,no,basic,college,2/11/11,feb,employed,m,suburban,married,personal auto,personal l1,offer2,branch,four-door car,small
5153,north west,no,extended,bachelor,1/23/11,jan,unemployed,m,suburban,married,personal auto,personal l3,offer4,web,four-door car,medsize
5154,central,yes,extended,bachelor,2/27/11,feb,unemployed,f,suburban,divorced,personal auto,personal l3,offer1,call center,suv,medsize
5155,west region,yes,extended,college,1/7/11,jan,employed,m,rural,married,corporate auto,corporate l3,offer2,agent,sports car,medsize
5156,central,no,basic,bachelor,2/9/11,feb,employed,m,rural,married,personal auto,personal l2,offer2,branch,two-door car,medsize
5157,east,no,basic,college,1/31/11,jan,employed,m,suburban,married,personal auto,personal l3,offer3,web,four-door car,medsize
5158,north west,no,premium,high school or below,1/25/11,jan,employed,f,suburban,married,personal auto,personal l3,offer2,branch,two-door car,small
5159,north west,no,basic,high school or below,1/24/11,jan,employed,m,suburban,married,personal auto,personal l3,offer3,web,suv,medsize
5160,central,no,extended,college,1/18/11,jan,employed,m,urban,divorced,personal auto,personal l2,offer1,agent,four-door car,medsize
5161,west region,no,premium,high school or below,1/19/11,jan,employed,f,suburban,married,personal auto,personal l3,offer2,branch,four-door car,small
5162,north west,no,basic,college,1/19/11,jan,medical leave,m,suburban,single,personal auto,personal l3,offer1,branch,two-door car,medsize
5163,west region,no,extended,college,1/7/11,jan,employed,f,suburban,married,corporate auto,corporate l1,offer4,branch,suv,medsize
5164,central,no,basic,high school or below,2/21/11,feb,employed,m,suburban,married,corporate auto,corporate l3,offer1,agent,four-door car,small
5165,west region,no,basic,college,1/6/11,jan,unemployed,f,rural,married,personal auto,personal l3,offer1,agent,four-door car,medsize
5166,central,no,basic,high school or below,2/15/11,feb,employed,f,urban,married,personal auto,personal l1,offer4,branch,two-door car,medsize
5167,east,no,extended,college,1/10/11,jan,medical leave,m,urban,married,personal auto,personal l2,offer4,call center,four-door car,medsize
5168,central,yes,basic,high school or below,2/20/11,feb,medical leave,m,suburban,single,special auto,special l3,offer1,call center,suv,medsize
5169,north west,no,basic,bachelor,1/28/11,jan,employed,f,suburban,married,personal auto,personal l3,offer1,agent,suv,medsize
5170,west region,no,extended,bachelor,1/31/11,jan,employed,m,urban,married,special auto,special l3,offer2,agent,four-door car,medsize
5171,west region,yes,extended,master,2/23/11,feb,unemployed,f,suburban,single,corporate auto,corporate l2,offer1,branch,sports car,medsize
5172,north west,no,extended,high school or below,1/9/11,jan,employed,m,suburban,married,personal auto,personal l2,offer3,call center,four-door car,medsize
5173,north west,no,extended,doctor,2/12/11,feb,medical leave,m,urban,married,corporate auto,corporate l2,offer2,agent,four-door car,medsize
5174,central,no,extended,bachelor,2/21/11,feb,employed,m,urban,married,corporate auto,corporate l3,offer2,agent,four-door car,medsize
5175,central,no,basic,college,2/12/11,feb,employed,f,rural,divorced,personal auto,personal l3,offer1,call center,luxury car,medsize
5176,west region,no,basic,college,2/9/11,feb,employed,m,suburban,married,corporate auto,corporate l1,offer2,branch,two-door car,small
5177,north west,no,basic,bachelor,1/31/11,jan,employed,m,suburban,married,corporate auto,corporate l3,offer3,agent,suv,medsize
5178,central,yes,premium,college,1/19/11,jan,employed,m,suburban,single,personal auto,personal l2,offer2,branch,sports car,medsize
5179,west region,no,extended,college,1/23/11,jan,employed,m,urban,divorced,personal auto,personal l3,offer3,agent,four-door car,medsize
5180,central,no,basic,college,2/18/11,feb,employed,m,suburban,married,corporate auto,corporate l3,offer3,agent,sports car,large
5181,north west,no,basic,college,2/19/11,feb,employed,m,suburban,divorced,corporate auto,corporate l1,offer1,agent,four-door car,small
5182,west region,no,basic,bachelor,2/2/11,feb,employed,f,rural,divorced,corporate auto,corporate l2,offer3,web,two-door car,medsize
5183,west region,no,extended,college,1/23/11,jan,unemployed,f,suburban,single,personal auto,personal l2,offer4,web,suv,medsize
5184,west region,no,basic,bachelor,1/27/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer1,call center,suv,large
5185,central,no,basic,bachelor,2/24/11,feb,employed,f,suburban,married,personal auto,personal l3,offer1,call center,suv,small
5186,central,no,extended,high school or below,2/1/11,feb,employed,m,rural,divorced,corporate auto,corporate l1,offer1,agent,four-door car,medsize
5187,west region,no,extended,high school or below,2/24/11,feb,employed,m,urban,married,personal auto,personal l3,offer2,call center,four-door car,medsize
5188,east,no,extended,high school or below,1/25/11,jan,disabled,m,suburban,married,corporate auto,corporate l1,offer3,agent,four-door car,large
5189,west region,no,basic,master,1/29/11,jan,employed,m,suburban,married,personal auto,personal l1,offer1,branch,four-door car,medsize
5190,north west,no,extended,high school or below,1/23/11,jan,employed,f,urban,married,personal auto,personal l2,offer1,agent,four-door car,medsize
5191,west region,no,extended,bachelor,2/26/11,feb,employed,f,rural,divorced,corporate auto,corporate l3,offer1,agent,two-door car,small
5192,west region,no,extended,bachelor,2/22/11,feb,unemployed,f,urban,married,personal auto,personal l2,offer3,agent,four-door car,medsize
5193,west region,no,premium,high school or below,1/26/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer1,call center,four-door car,medsize
5194,north west,no,extended,bachelor,1/27/11,jan,unemployed,f,rural,married,personal auto,personal l3,offer3,agent,four-door car,large
5195,west region,yes,basic,high school or below,2/28/11,feb,employed,m,suburban,married,personal auto,personal l3,offer2,agent,four-door car,small
5196,north west,no,basic,high school or below,1/31/11,jan,employed,f,urban,married,personal auto,personal l3,offer2,branch,four-door car,medsize
5197,north west,yes,basic,bachelor,2/5/11,feb,employed,m,urban,divorced,personal auto,personal l3,offer1,agent,two-door car,medsize
5198,west region,no,extended,bachelor,2/2/11,feb,employed,f,rural,married,personal auto,personal l2,offer2,branch,four-door car,large
5199,west region,no,basic,college,2/18/11,feb,employed,m,urban,married,special auto,special l3,offer2,branch,suv,medsize
5200,east,no,basic,college,1/30/11,jan,employed,m,urban,single,personal auto,personal l1,offer1,call center,suv,medsize
5201,west region,no,extended,college,1/16/11,jan,employed,m,urban,married,corporate auto,corporate l1,offer2,call center,two-door car,medsize
5202,north west,no,basic,college,2/6/11,feb,employed,m,suburban,divorced,personal auto,personal l3,offer2,call center,suv,medsize
5203,north west,no,extended,high school or below,1/13/11,jan,unemployed,f,suburban,single,personal auto,personal l2,offer3,call center,four-door car,medsize
5204,north west,no,basic,bachelor,1/1/11,jan,unemployed,m,suburban,married,personal auto,personal l1,offer3,branch,suv,small
5205,north west,no,extended,high school or below,1/16/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer1,call center,four-door car,medsize
5206,west region,no,basic,master,1/30/11,jan,employed,f,suburban,divorced,corporate auto,corporate l2,offer3,web,four-door car,medsize
5207,north west,yes,basic,bachelor,1/21/11,jan,employed,f,suburban,married,corporate auto,corporate l2,offer1,agent,two-door car,medsize
5208,central,no,basic,college,2/4/11,feb,employed,f,rural,married,corporate auto,corporate l2,offer2,call center,four-door car,large
5209,east,no,premium,master,1/9/11,jan,unemployed,m,suburban,divorced,personal auto,personal l2,offer3,branch,four-door car,medsize
5210,central,no,basic,high school or below,1/19/11,jan,employed,f,urban,married,personal auto,personal l2,offer4,call center,four-door car,medsize
5211,west region,yes,basic,bachelor,1/27/11,jan,employed,m,suburban,married,personal auto,personal l3,offer2,call center,four-door car,medsize
5212,north west,no,extended,high school or below,1/18/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer1,agent,four-door car,small
5213,west region,no,basic,college,1/31/11,jan,employed,m,suburban,married,personal auto,personal l2,offer3,call center,two-door car,medsize
5214,central,no,extended,bachelor,2/17/11,feb,employed,f,suburban,married,personal auto,personal l3,offer1,branch,four-door car,medsize
5215,north west,no,basic,high school or below,2/10/11,feb,employed,m,suburban,married,personal auto,personal l3,offer2,agent,suv,small
5216,west region,no,basic,high school or below,1/7/11,jan,employed,f,suburban,married,corporate auto,corporate l3,offer3,agent,four-door car,small
5217,north west,no,extended,high school or below,2/15/11,feb,employed,m,suburban,single,personal auto,personal l3,offer2,call center,four-door car,medsize
5218,central,no,basic,bachelor,2/27/11,feb,employed,f,suburban,married,personal auto,personal l3,offer3,web,two-door car,small
5219,west region,yes,basic,bachelor,1/12/11,jan,employed,f,suburban,married,corporate auto,corporate l2,offer2,call center,four-door car,small
5220,west region,no,basic,college,1/11/11,jan,employed,m,rural,married,personal auto,personal l1,offer3,call center,two-door car,medsize
5221,west region,no,basic,bachelor,2/5/11,feb,employed,f,suburban,married,corporate auto,corporate l3,offer3,branch,four-door car,medsize
5222,north west,no,basic,high school or below,1/10/11,jan,employed,m,suburban,single,corporate auto,corporate l3,offer4,agent,luxury car,medsize
5223,central,no,basic,high school or below,1/11/11,jan,unemployed,m,suburban,single,corporate auto,corporate l3,offer2,agent,four-door car,medsize
5224,west region,no,basic,college,2/28/11,feb,medical leave,f,suburban,married,corporate auto,corporate l2,offer2,branch,four-door car,large
5225,west region,no,extended,bachelor,1/16/11,jan,employed,f,rural,married,personal auto,personal l1,offer3,call center,suv,large
5226,central,no,basic,bachelor,2/12/11,feb,unemployed,f,suburban,single,personal auto,personal l2,offer1,call center,four-door car,medsize
5227,north west,no,basic,college,1/22/11,jan,employed,m,urban,divorced,personal auto,personal l3,offer2,branch,suv,medsize
5228,north west,no,extended,high school or below,2/7/11,feb,employed,f,suburban,married,personal auto,personal l3,offer2,call center,four-door car,medsize
5229,north west,no,extended,high school or below,1/20/11,jan,employed,f,rural,married,personal auto,personal l3,offer3,agent,four-door car,medsize
5230,central,no,extended,college,1/28/11,jan,employed,f,suburban,married,corporate auto,corporate l2,offer2,agent,two-door car,small
5231,west region,yes,extended,college,2/19/11,feb,unemployed,f,suburban,divorced,personal auto,personal l1,offer2,agent,four-door car,medsize
5232,north west,no,premium,high school or below,1/11/11,jan,unemployed,f,suburban,single,personal auto,personal l2,offer2,branch,four-door car,medsize
5233,north west,no,basic,bachelor,1/3/11,jan,retired,m,suburban,divorced,personal auto,personal l3,offer2,web,suv,medsize
5234,central,no,basic,college,2/27/11,feb,unemployed,f,suburban,single,personal auto,personal l3,offer2,call center,suv,medsize
5235,east,no,extended,college,1/22/11,jan,employed,m,rural,married,corporate auto,corporate l2,offer1,call center,two-door car,medsize
5236,north west,no,basic,high school or below,1/6/11,jan,unemployed,f,suburban,married,personal auto,personal l2,offer2,agent,four-door car,medsize
5237,north west,no,basic,high school or below,2/20/11,feb,employed,f,rural,divorced,personal auto,personal l3,offer3,web,four-door car,medsize
5238,central,no,basic,master,1/8/11,jan,unemployed,f,suburban,married,corporate auto,corporate l2,offer4,call center,four-door car,small
5239,east,no,basic,high school or below,1/27/11,jan,unemployed,f,suburban,single,personal auto,personal l2,offer1,branch,four-door car,medsize
5240,central,no,basic,master,2/26/11,feb,employed,f,suburban,single,personal auto,personal l3,offer2,agent,two-door car,medsize
5241,west region,no,extended,high school or below,1/23/11,jan,unemployed,f,suburban,single,personal auto,personal l2,offer1,branch,four-door car,small
5242,west region,no,basic,high school or below,1/2/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer1,agent,suv,large
5243,west region,no,basic,college,2/8/11,feb,unemployed,f,suburban,married,personal auto,personal l3,offer2,call center,two-door car,medsize
5244,west region,no,premium,college,2/5/11,feb,unemployed,m,suburban,single,personal auto,personal l2,offer1,agent,suv,large
5245,north west,no,basic,bachelor,2/17/11,feb,unemployed,m,suburban,single,personal auto,personal l1,offer1,agent,four-door car,small
5246,central,no,extended,high school or below,1/26/11,jan,unemployed,m,suburban,married,personal auto,personal l2,offer4,agent,four-door car,medsize
5247,central,no,basic,high school or below,2/23/11,feb,unemployed,f,suburban,married,personal auto,personal l2,offer1,call center,suv,small
5248,north west,no,extended,high school or below,2/26/11,feb,unemployed,f,suburban,single,personal auto,personal l1,offer1,branch,four-door car,small
5249,north west,no,basic,high school or below,1/30/11,jan,unemployed,m,suburban,married,personal auto,personal l3,offer2,agent,four-door car,large
5250,west region,no,basic,high school or below,1/23/11,jan,retired,m,suburban,divorced,personal auto,personal l3,offer1,agent,four-door car,small
5251,east,no,extended,bachelor,1/4/11,jan,employed,f,urban,married,corporate auto,corporate l3,offer1,branch,four-door car,medsize
5252,central,no,basic,bachelor,1/1/11,jan,employed,m,suburban,divorced,corporate auto,corporate l1,offer1,call center,two-door car,medsize
5253,north west,yes,basic,high school or below,1/10/11,jan,employed,m,suburban,married,corporate auto,corporate l2,offer2,branch,suv,medsize
5254,north west,no,basic,high school or below,2/5/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,call center,suv,medsize
5255,west region,no,extended,bachelor,2/17/11,feb,employed,m,suburban,divorced,corporate auto,corporate l3,offer2,web,four-door car,medsize
5256,north west,no,extended,college,1/2/11,jan,employed,f,suburban,married,personal auto,personal l3,offer3,call center,four-door car,medsize
5257,central,no,extended,high school or below,2/5/11,feb,employed,f,suburban,married,personal auto,personal l3,offer2,branch,four-door car,small
5258,west region,no,basic,high school or below,2/12/11,feb,unemployed,m,suburban,married,personal auto,personal l1,offer1,agent,sports car,medsize
5259,west region,no,basic,high school or below,1/9/11,jan,employed,m,rural,married,personal auto,personal l1,offer2,branch,two-door car,medsize
5260,north west,no,extended,college,1/4/11,jan,employed,f,rural,married,personal auto,personal l2,offer1,call center,two-door car,medsize
5261,west region,no,basic,bachelor,2/17/11,feb,employed,f,rural,married,personal auto,personal l3,offer1,agent,four-door car,medsize
5262,north west,no,basic,college,2/23/11,feb,unemployed,f,suburban,single,special auto,special l3,offer3,branch,sports car,medsize
5263,north west,no,extended,bachelor,2/17/11,feb,employed,f,suburban,married,personal auto,personal l1,offer2,branch,four-door car,medsize
5264,central,no,premium,doctor,2/22/11,feb,employed,m,suburban,married,personal auto,personal l1,offer1,branch,four-door car,medsize
5265,west region,no,basic,high school or below,2/13/11,feb,unemployed,f,suburban,single,corporate auto,corporate l3,offer4,call center,suv,small
5266,central,no,basic,bachelor,1/28/11,jan,unemployed,m,suburban,single,corporate auto,corporate l1,offer3,call center,four-door car,medsize
5267,central,yes,extended,college,1/14/11,jan,employed,m,suburban,single,personal auto,personal l1,offer2,agent,luxury suv,small
5268,west region,no,extended,bachelor,2/18/11,feb,unemployed,m,suburban,single,corporate auto,corporate l1,offer1,agent,two-door car,medsize
5269,north west,no,extended,master,1/5/11,jan,employed,f,urban,divorced,personal auto,personal l2,offer2,call center,four-door car,small
5270,central,no,basic,master,2/2/11,feb,employed,f,rural,married,personal auto,personal l1,offer2,branch,two-door car,large
5271,central,no,basic,master,1/9/11,jan,employed,f,urban,divorced,personal auto,personal l2,offer3,branch,two-door car,medsize
5272,central,no,basic,high school or below,2/7/11,feb,employed,m,suburban,married,corporate auto,corporate l2,offer3,web,four-door car,medsize
5273,west region,yes,extended,college,1/8/11,jan,unemployed,m,suburban,single,personal auto,personal l1,offer1,agent,suv,medsize
5274,central,no,basic,doctor,2/21/11,feb,employed,f,urban,divorced,personal auto,personal l3,offer3,agent,four-door car,medsize
5275,east,no,extended,master,1/8/11,jan,employed,f,urban,divorced,corporate auto,corporate l2,offer2,call center,sports car,medsize
5276,west region,no,premium,bachelor,2/12/11,feb,employed,m,rural,divorced,personal auto,personal l3,offer1,agent,suv,medsize
5277,central,no,basic,college,2/27/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,agent,luxury car,medsize
5278,west region,no,basic,bachelor,2/10/11,feb,employed,f,rural,divorced,personal auto,personal l3,offer1,agent,suv,medsize
5279,north west,no,extended,college,2/27/11,feb,employed,f,rural,single,personal auto,personal l3,offer1,branch,four-door car,medsize
5280,west region,no,premium,bachelor,1/31/11,jan,employed,m,rural,married,personal auto,personal l3,offer1,call center,four-door car,medsize
5281,central,no,extended,college,1/18/11,jan,employed,m,urban,married,corporate auto,corporate l3,offer2,web,four-door car,medsize
5282,central,no,premium,high school or below,2/8/11,feb,unemployed,f,suburban,single,personal auto,personal l2,offer1,agent,two-door car,large
5283,west region,no,premium,college,2/3/11,feb,employed,m,suburban,married,personal auto,personal l1,offer1,branch,two-door car,small
5284,west region,no,extended,high school or below,1/29/11,jan,employed,m,suburban,married,personal auto,personal l3,offer2,web,two-door car,medsize
5285,west region,no,basic,high school or below,1/18/11,jan,employed,f,suburban,married,personal auto,personal l2,offer2,web,four-door car,large
5286,west region,no,basic,high school or below,2/16/11,feb,employed,m,rural,divorced,special auto,special l2,offer2,agent,sports car,medsize
5287,central,yes,premium,high school or below,2/19/11,feb,employed,f,rural,married,special auto,special l1,offer2,web,four-door car,medsize
5288,north west,no,basic,high school or below,1/15/11,jan,employed,m,rural,divorced,corporate auto,corporate l3,offer1,call center,four-door car,medsize
5289,central,yes,basic,high school or below,1/19/11,jan,medical leave,f,suburban,married,personal auto,personal l1,offer2,call center,suv,medsize
5290,north west,no,extended,college,1/18/11,jan,employed,m,suburban,single,personal auto,personal l2,offer1,agent,two-door car,medsize
5291,north west,no,extended,high school or below,1/17/11,jan,employed,m,rural,single,corporate auto,corporate l1,offer3,call center,four-door car,medsize
5292,central,no,basic,college,1/31/11,jan,employed,m,suburban,married,personal auto,personal l3,offer4,agent,four-door car,small
5293,central,no,basic,college,2/26/11,feb,employed,m,suburban,married,personal auto,personal l3,offer2,branch,suv,medsize
5294,central,no,basic,doctor,2/22/11,feb,employed,f,urban,married,personal auto,personal l1,offer2,branch,four-door car,medsize
5295,west region,no,basic,high school or below,1/30/11,jan,employed,m,suburban,single,personal auto,personal l3,offer3,call center,sports car,small
5296,north west,no,basic,bachelor,2/18/11,feb,employed,f,urban,married,personal auto,personal l2,offer2,web,four-door car,medsize
5297,north west,no,basic,high school or below,2/1/11,feb,employed,m,suburban,married,corporate auto,corporate l2,offer2,call center,suv,medsize
5298,north west,no,basic,bachelor,2/28/11,feb,employed,f,suburban,single,personal auto,personal l2,offer1,agent,four-door car,small
5299,north west,no,basic,high school or below,1/9/11,jan,employed,f,urban,married,personal auto,personal l2,offer2,branch,suv,medsize
5300,west region,no,basic,high school or below,1/3/11,jan,employed,m,suburban,single,personal auto,personal l3,offer3,agent,two-door car,medsize
5301,east,no,extended,college,2/19/11,feb,employed,f,suburban,married,personal auto,personal l3,offer2,branch,suv,medsize
5302,central,no,basic,bachelor,2/6/11,feb,unemployed,f,suburban,married,personal auto,personal l3,offer3,call center,four-door car,medsize
5303,east,no,premium,high school or below,1/27/11,jan,unemployed,m,suburban,married,corporate auto,corporate l1,offer2,branch,two-door car,small
5304,central,no,basic,bachelor,1/10/11,jan,employed,m,rural,married,personal auto,personal l2,offer4,call center,luxury suv,medsize
5305,west region,no,basic,high school or below,1/21/11,jan,employed,m,urban,married,corporate auto,corporate l2,offer2,branch,four-door car,medsize
5306,west region,no,basic,bachelor,2/16/11,feb,unemployed,f,suburban,single,corporate auto,corporate l2,offer2,web,suv,small
5307,west region,no,extended,bachelor,2/11/11,feb,employed,m,rural,married,personal auto,personal l2,offer3,branch,suv,large
5308,north west,no,basic,bachelor,1/19/11,jan,employed,f,urban,married,personal auto,personal l3,offer1,call center,four-door car,medsize
5309,west region,no,basic,bachelor,1/24/11,jan,employed,m,suburban,married,personal auto,personal l3,offer2,branch,suv,medsize
5310,north west,no,extended,master,1/11/11,jan,employed,m,urban,single,personal auto,personal l2,offer2,branch,two-door car,large
